"","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene_name"
"ENSMUSG00000097426",27.1847751824548,-0.0402666675420729,0.252966413253201,0.627291468578083,0.920448440971695,"ENSMUSG00000097426"
"ENSMUSG00000102135",2.79939837800355,-0.0178027773492682,0.25997290201131,0.719357193606532,NA,"ENSMUSG00000102135"
"ENSMUSG00000100764",7.93399579856824,0.0772548807937585,0.266119721712757,0.338933158004938,0.785334994267006,"ENSMUSG00000100764"
"ENSMUSG00000100635",6.56343703751065,0.131920371621408,0.299808359604073,0.0985404369950812,0.484388012904526,"ENSMUSG00000100635"
"ENSMUSG00000100480",9.81589586965047,0.00423115122892859,0.253919643462831,0.954387587668644,0.990005812695241,"ENSMUSG00000100480"
"ENSMUSG00000103629",9.15314232633707,-0.015023195324993,0.255260973564948,0.820775525459003,0.969318185668282,"Gm5694"
"ENSMUSG00000100025",14.9416297195979,-0.00795335959294422,0.248486897219698,0.922449106368059,0.985589275042425,"Gm8141"
"ENSMUSG00000051285",3857.27785276094,0.0646555316277642,0.209134288518545,0.628294236320435,0.920458063431369,"Pcmtd1"
"ENSMUSG00000103509",254.639904275308,-0.0614400002057695,0.233133201852115,0.603095342082006,0.911405274358944,"ENSMUSG00000103509"
"ENSMUSG00000097797",5.70337694361359,0.00911561035995344,0.254664022206567,0.895758277655718,0.982085570698442,"ENSMUSG00000097797"
"ENSMUSG00000039748",51.1205298875887,0.00332851100070627,0.254960433228495,0.964877409078768,0.992752861132675,"Exo1"
"ENSMUSG00000057363",1528.20006301399,-0.00433958149810023,0.192881582568706,0.971176661000267,0.994005659331534,"Uxs1"
"ENSMUSG00000100701",4.06159602454135,0.0142342428383185,0.258248220673101,0.801983045787974,0.965526525338967,"ENSMUSG00000100701"
"ENSMUSG00000100555",12.2930737742118,-0.111519168598964,0.278298634854227,0.223979160858197,0.684765121259807,"Gm8173"
"ENSMUSG00000038702",2161.51131806539,-0.0763185485181849,0.182632903438237,0.568060895959292,0.89921720802982,"Dsel"
"ENSMUSG00000033021",2495.33050459813,-0.188444372264892,0.204974723841481,0.192859636976999,0.646774301928653,"Gmppa"
"ENSMUSG00000078184",10.2189550290195,0.00724515523852645,0.245515858280987,0.938264103312166,0.988218778459712,"ENSMUSG00000078184"
"ENSMUSG00000033007",2.98849173389236,0.0403685380303314,0.262690818778093,0.461064073013102,NA,"Asic4"
"ENSMUSG00000102605",3.88677905438199,0.0491693819009577,0.265405187429714,0.3517950050021,0.794260303991466,"ENSMUSG00000102605"
"ENSMUSG00000025909",14.2243772220178,0.0739853796048322,0.276170728473567,0.101353332572822,0.488391060674644,"Sntg1"
"ENSMUSG00000086235",4.93242415464333,0.0282078746081591,0.257752374584812,0.663661447101159,0.931160298643278,"ENSMUSG00000086235"
"ENSMUSG00000103933",9.23187663628343,-0.0658697296514308,0.257581876681046,0.457806661071057,0.848477172040549,"ENSMUSG00000103933"
"ENSMUSG00000061024",935.975015944713,0.0597052706269008,0.225686225690906,0.632584618435844,0.921631817150641,"Rrs1"
"ENSMUSG00000026374",2547.97911630754,0.0425863696776445,0.187585388589613,0.751002266349196,0.954762571172622,"Tsn"
"ENSMUSG00000026377",1502.63039430162,0.0199720557063912,0.216360827316897,0.87602857435338,0.978910598364543,"Nifk"
"ENSMUSG00000099936",2.79974720049047,0.0480470580009816,0.265120094348887,0.361609585872309,NA,"ENSMUSG00000099936"
"ENSMUSG00000025911",253.25564206772,-0.429220797291179,0.540103578373735,0.0291729955781403,0.257199787846858,"Adhfe1"
"ENSMUSG00000079671",153.353811080358,-0.0510719204311511,0.224832200637162,0.675576370096513,0.93380235304633,"ENSMUSG00000079671"
"ENSMUSG00000067879",7.99334957933459,0.0306189887337841,0.249657139429778,0.726713455340371,0.947611437824919,"Vxn"
"ENSMUSG00000057335",7300.30365000905,-0.0914365454466096,0.183796661530437,0.485085768295881,0.862068940712503,"Cep170"
"ENSMUSG00000104154",16.8021777064123,-0.257741148037423,0.39815491095618,0.0550670889927412,0.357194012325335,"ENSMUSG00000104154"
"ENSMUSG00000025912",162.06234988602,0.823633179923195,0.413064795919489,0.00276704840101599,0.056913364004027,"Mybl1"
"ENSMUSG00000045210",2677.13295545334,0.0719840482845928,0.165097335838609,0.582248634931559,0.903142435566448,"Vcpip1"
"ENSMUSG00000041763",3612.55846635326,0.0907614438833897,0.190380095144533,0.506530749333428,0.874153561049879,"Tpp2"
"ENSMUSG00000097893",3.77105719400955,0.0704525176380889,0.271077040957708,0.232188495453928,NA,"ENSMUSG00000097893"
"ENSMUSG00000026504",672.526499769427,-0.0191057413413843,0.194556384542337,0.881542409425282,0.979321280058643,"Sdccag8"
"ENSMUSG00000103367",58.6161413340422,0.044992182491996,0.233557765155526,0.696740091304074,0.940503727476455,"ENSMUSG00000103367"
"ENSMUSG00000047343",6.83763634614613,-0.0129449282777807,0.254226730044647,0.851823847972419,0.972644721521519,"Mettl21c"
"ENSMUSG00000103251",13.7218482462426,-0.00634485142500534,0.24209262561696,0.945879233501403,0.989171641062251,"ENSMUSG00000103251"
"ENSMUSG00000091844",3.69931108949684,0.0737507646323793,0.274913454618074,0.136270887865652,NA,"Ccdc168"
"ENSMUSG00000026483",14027.7053935257,0.107697490477691,0.197386998017926,0.435676834310209,0.837982677056231,"Niban1"
"ENSMUSG00000100594",43.1656613711295,0.186363165254561,0.284114116865733,0.178010726316984,0.626235025816943,"2810414N06Rik"
"ENSMUSG00000019699",1529.48568203572,0.00485658451147521,0.213693370955059,0.971618217772687,0.994005659331534,"Akt3"
"ENSMUSG00000104391",8.40137431444275,-0.0307705386347131,0.257567351823455,0.640615074173842,0.923125776916579,"ENSMUSG00000104391"
"ENSMUSG00000102133",3.01647415229667,-0.0437654007572458,0.26485789295514,0.368109537924519,NA,"ENSMUSG00000102133"
"ENSMUSG00000097892",5.80886265920376,0.0276362830725565,0.260926928932926,0.595114568676951,0.908116802638286,"ENSMUSG00000097892"
"ENSMUSG00000063659",896.55606682034,-0.163061728627341,0.239838293880585,0.252330576749082,0.714949125558557,"Zbtb18"
"ENSMUSG00000026049",69.4553449569823,0.176880909565277,0.283677964683617,0.186877443721473,0.639677278730391,"Tex30"
"ENSMUSG00000043019",3589.9494644459,0.118734762897863,0.17902278441952,0.381128413253463,0.810357016339282,"Edem3"
"ENSMUSG00000032666",679.668752016354,-0.0529601236950403,0.235883561477276,0.63938350254473,0.92310994771143,"1700025G04Rik"
"ENSMUSG00000015961",2350.68150992671,-0.0225174770129929,0.204173065555579,0.861214429203344,0.97513217551817,"Adss2"
"ENSMUSG00000014980",303.250854184005,-0.0673111611605922,0.20677482630206,0.610326531447784,0.914876183665372,"Tsen15"
"ENSMUSG00000026235",1210.13341882034,1.89030825200894,0.869580935410248,0.000878117613771428,0.0265469422812596,"Epha4"
"ENSMUSG00000032649",33.6343991393279,-0.141244566843434,0.313907397440425,0.0375188071866925,0.294216469239017,"Colgalt2"
"ENSMUSG00000026047",916.557829463142,-0.0157328927651869,0.188451947485918,0.903017273139417,0.983007290050498,"Poglut2"
"ENSMUSG00000091476",18.167306680888,0.132005105293609,0.281018760107183,0.21910151014753,0.680002303957305,"Catspere2"
"ENSMUSG00000041684",828.435701663196,-0.0122811850729679,0.190707216346245,0.923639621415616,0.985597746450274,"Bivm"
"ENSMUSG00000032908",5.75822604154173,0.0106074540116919,0.252709542720407,0.888199289343449,0.980320005814808,"Sgpp2"
"ENSMUSG00000026502",1882.29222580965,-0.16638815648143,0.211106660859395,0.245697466876396,0.711447727523963,"Desi2"
"ENSMUSG00000104126",6.08247911669354,-0.0286031576212912,0.255268338491401,0.690226187336797,0.939160239639856,"ENSMUSG00000104126"
"ENSMUSG00000086350",16.3031421406043,0.184871533221956,0.32509731762355,0.102337158197039,0.491324408214384,"ENSMUSG00000086350"
"ENSMUSG00000026500",12.2081572747295,-0.0179818105526103,0.248026077670537,0.834373052061837,0.970961456504078,"Cox20"
"ENSMUSG00000026048",1621.22610955988,0.367181348709731,0.312299084753613,0.0446241149773926,0.321944574082785,"Ercc5"
"ENSMUSG00000026245",1772.46114987883,0.101776366564039,0.237606519856286,0.424406184836251,0.832928993502056,"Farsb"
"ENSMUSG00000104018",15.5265657241808,-0.122120295458484,0.284134496312624,0.190459704595419,0.644272184795427,"ENSMUSG00000104018"
"ENSMUSG00000026482",5119.16623583496,0.0226630388659201,0.216068989610266,0.845039094628453,0.972145260412891,"Rgl1"
"ENSMUSG00000080950",3.33726444802128,0.035940242942543,0.261404529359245,0.52071821752017,NA,"ENSMUSG00000080950"
"ENSMUSG00000008475",4442.49114658211,0.0699810748326334,0.229969541949856,0.582261582224647,0.903142435566448,"Arpc5"
"ENSMUSG00000056870",1868.17964396904,-0.532741876105459,0.61282949985563,0.0194279356089586,0.202268821744507,"Gulp1"
"ENSMUSG00000102319",16.575868312869,-0.072208056519315,0.267671282414429,0.312184824950359,0.76642255048241,"ENSMUSG00000102319"
"ENSMUSG00000089877",6.32617795017932,-0.062127705681958,0.269612083887261,0.236563425372883,0.700094761898797,"ENSMUSG00000089877"
"ENSMUSG00000101701",5.20440740722924,0.0442824390963548,0.261986296025742,0.469274340005864,0.855206221751271,"4930521E06Rik"
"ENSMUSG00000039630",15511.0246430836,0.0405492042556541,0.181186168407902,0.766078078754121,0.958395668103398,"Hnrnpu"
"ENSMUSG00000104279",37.6656909322376,0.0859041737092831,0.249065065897392,0.447040768492146,0.844249549977651,"ENSMUSG00000104279"
"ENSMUSG00000026495",73.1859794106371,0.0829884593683237,0.237467306455213,0.497379248373601,0.868948564457272,"Efcab2"
"ENSMUSG00000032883",1296.33058131978,-0.245654489695848,0.399573557139542,0.0464932863733666,0.328244063499428,"Acsl3"
"ENSMUSG00000026480",8.6635290703312,0.110810249712882,0.291519589067613,0.0778524164179307,0.42977687847992,"Ncf2"
"ENSMUSG00000026494",3719.19001769801,3.36295232468616,0.523210100072715,6.37072245594749e-12,3.68944464230059e-09,"Kif26b"
"ENSMUSG00000025915",242.830587686357,0.0812855499567711,0.223783501704554,0.531605333730709,0.886594088267661,"Sgk3"
"ENSMUSG00000089713",4.39152624633884,0.142075271342296,0.322704178354921,0.000850265510553217,0.0259590122595918,"ENSMUSG00000089713"
"ENSMUSG00000079470",200.610930886734,-0.167274784528799,0.292139678118926,0.174864899378017,0.619636354013996,"Utp14b"
"ENSMUSG00000047330",3764.08187930484,-0.0162415206519041,0.243895498608227,0.857676098587071,0.973577403881959,"Kcne4"
"ENSMUSG00000101324",6.9842334216915,-0.0242056246582623,0.261926298267213,0.582163107064184,0.903142435566448,"ENSMUSG00000101324"
"ENSMUSG00000050711",99.4210634347094,-0.0413445826340673,0.258375528005947,0.553337468292386,0.892721443678249,"Scg2"
"ENSMUSG00000055067",579.902586412273,-0.0545795818770322,0.183193066448241,0.679802576056229,0.936349902258169,"Smyd3"
