occurrence_no,record_type,reid_no,flags,collection_no,identified_name,identified_rank,identified_no,difference,accepted_name,accepted_rank,accepted_no,early_interval,late_interval,max_ma,min_ma,reference_no,phylum,class,order,family,genus,lng,lat,cc,state,county,latlng_basis,latlng_precision,geogscale,geogcomments,paleomodel,geoplate,paleoage,paleolng,paleolat,paleomodel2,geoplate2,paleoage2,paleolng2,paleolat2,paleomodel3,geoplate3,paleoage3,paleolng3,paleolat3
138745,occ,,,11798,Serridentinus ? sp.,genus,51518,subjective synonym of,Gomphotherium,genus,43247,Tortonian,,11.62,7.246,10883,Chordata,Mammalia,Proboscidea,Gomphotheriidae,Gomphotherium,102.066666,25.016666,CN,Yunnan,Lufeng,stated in text,minutes,outcrop,"Located about 9 km north of Lufeng, at the southern side of Miaoshanpo-Mountain; IVPP-Point 75033, called section D.",gplates,611,mid,101.5,23.6,scotese,611,mid,101.03,24.39,seton,602,mid,100.92,26.02
138746,occ,,,11798,Tetralophodon cf. exoletus,species,43261,species not entered,Tetralophodon,genus,43261,Tortonian,,11.62,7.246,4196,Chordata,Mammalia,Proboscidea,Gomphotheriidae,Tetralophodon,102.066666,25.016666,CN,Yunnan,Lufeng,stated in text,minutes,outcrop,"Located about 9 km north of Lufeng, at the southern side of Miaoshanpo-Mountain; IVPP-Point 75033, called section D.",gplates,611,mid,101.5,23.6,scotese,611,mid,101.03,24.39,seton,602,mid,100.92,26.02
138747,occ,,,11798,Zygolophodon n. sp. lufengensis,species,43277,species not entered,Zygolophodon,genus,95509,Tortonian,,11.62,7.246,10885,Chordata,Mammalia,Proboscidea,Mammutidae,Zygolophodon,102.066666,25.016666,CN,Yunnan,Lufeng,stated in text,minutes,outcrop,"Located about 9 km north of Lufeng, at the southern side of Miaoshanpo-Mountain; IVPP-Point 75033, called section D.",gplates,611,mid,101.5,23.6,scotese,611,mid,101.03,24.39,seton,602,mid,100.92,26.02
147930,occ,,,13060,Stegodon bombifrons,species,476344,,Stegodon bombifrons,species,476344,Late Miocene,,11.608,5.333,4341,Chordata,Mammalia,Proboscidea,Elephantidae,Stegodon,76.666664,31.533333,IN,Himachal Pradesh,,,minutes,local area,"see map p. 190, 0.5 mi south of Ladhyani village",gplates,501,mid,77.59,27.06,scotese,501,mid,77.67,28.48,seton,501,mid,74.98,29.09
150057,occ,,,13293,Elephas cf. kiangnanensis,species,43264,species not entered,Elephas,genus,43264,Middle Pleistocene,Late Pleistocene,0.781,0.0117,4412,Chordata,Mammalia,Proboscidea,Elephantidae,Elephas,111.566666,22.766666,CN,Guangdong,Luoding,based on nearby landmark,minutes,small collection,"Xiashan Cave, Xiashan River Valley, at the western side of Dayunwu Mountain, 4 km from the Capital of Pingtang District (Southwest of Luoding). Lat long is for Luoding.\n",gplates,not computable using this model,mid,,,scotese,not computable using this model,mid,,,seton,not computable using this model,mid,,
150058,occ,,,13293,Stegodon orientalis,species,43271,species not entered,Stegodon,genus,43271,Middle Pleistocene,Late Pleistocene,0.781,0.0117,4412,Chordata,Mammalia,Proboscidea,Elephantidae,Stegodon,111.566666,22.766666,CN,Guangdong,Luoding,based on nearby landmark,minutes,small collection,"Xiashan Cave, Xiashan River Valley, at the western side of Dayunwu Mountain, 4 km from the Capital of Pingtang District (Southwest of Luoding). Lat long is for Luoding.\n",gplates,not computable using this model,mid,,,scotese,not computable using this model,mid,,,seton,not computable using this model,mid,,
150874,occ,,,13448,Stegodon n. sp. rathiansis,species,43271,species not entered,Stegodon,genus,43271,Late Pliocene,,3.6,2.588,6061,Chordata,Mammalia,Proboscidea,Elephantidae,Stegodon,73.669998,32.990002,PK,"Jhelem, Punjab",Rathian,estimated from map,2,local area,"found ""near Rathian""",gplates,501,mid,74.14,31.39,scotese,501,mid,74.2,31.95,seton,501,mid,73.1,32.09
150875,occ,,,13447,Elephas cf. namadicus,species,476343,,Elephas namadicus,species,476343,Quaternary,Middle Pleistocene,2.588,0.126,6062,Chordata,Mammalia,Proboscidea,Elephantidae,Elephas,77.834724,22.9,IN,"Hoshangabad, Madhya Pradesh",Dongria,stated in text,seconds,local area,"""Around Dongria village"" along the right bank of Narmada River in Hoshangabad district M.P.\r\nJA: originally entered by mistake as being from Pakistan",gplates,501,mid,77.88,22.34,scotese,501,mid,77.87,22.51,seton,501,mid,77.6,22.59
150888,occ,,,13453,Elephas maximus,species,104147,,Elephas maximus,species,104147,Early Pleistocene,,2.588,0.781,6075,Chordata,Mammalia,Proboscidea,Elephantidae,Elephas,76.916664,30.733334,IN,,Nadha,based on nearby landmark,minutes,,"Lat Long based on Chandigarh town, ~7 km form locality",gplates,501,mid,77.15,29.62,scotese,501,mid,77.19,29.98,seton,501,mid,76.5,30.12
150889,occ,,,13454,Stegolophodon n. sp. miyokoae,species,43272,species not entered,Stegolophodon,genus,43272,Early Miocene,,23.03,15.97,6076,Chordata,Mammalia,Proboscidea,Stegodontidae,Stegolophodon,134.233337,35.383331,JP,Miyagi,Sen-An,based on nearby landmark,minutes,,"Lat long based on town of Funaoka, where locality is.",gplates,610,mid,131.33,35.2,scotese,610,mid,131.47,39.29,seton,630,mid,131.83,37.75
