Year,town number,town name,Total,Swiss,Foreigner,Male,Female,0-14 y.o.,15-59 y.o.,60+ y.o.,Reformed,Catholic,Other,German speakers,Franch speakers,Italian speakers,Romansche speakers,Non-national tongue speakers,district number,district name,canton number,canton,canton name
1880,1,Aeugst,646,627,19,319,327,217,379,50,588,43,15,645,0,1,0,0,101,Affoltern,1,ZH,Zürich
1880,2,Affoltern am Albis,2201,2088,113,1055,1146,713,1331,157,1942,216,43,2193,5,3,0,0,101,Affoltern,1,ZH,Zürich
1880,3,Bonstetten,771,754,17,361,410,266,449,56,747,20,4,771,0,0,0,0,101,Affoltern,1,ZH,Zürich
1880,4,Hausen,1363,1305,58,640,723,343,884,136,1266,95,2,1342,12,9,0,0,101,Affoltern,1,ZH,Zürich
1880,5,Hedingen,907,867,40,448,459,255,567,85,861,44,2,893,0,9,0,5,101,Affoltern,1,ZH,Zürich
1880,6,Kappel,819,813,6,432,387,223,496,100,757,59,3,819,0,0,0,0,101,Affoltern,1,ZH,Zürich
1880,7,Knonau,570,569,1,275,295,157,359,54,531,39,0,570,0,0,0,0,101,Affoltern,1,ZH,Zürich
1880,8,Maschwanden,488,485,3,244,244,107,326,55,438,50,0,488,0,0,0,0,101,Affoltern,1,ZH,Zürich
1880,9,Mettmenstetten,1433,1416,17,703,730,424,869,140,1355,78,0,1428,2,3,0,0,101,Affoltern,1,ZH,Zürich
1880,10,Obfelden,981,940,41,458,523,279,612,90,884,77,20,972,8,1,0,0,101,Affoltern,1,ZH,Zürich
1880,11,Ottenbach,1246,1207,39,590,656,382,773,91,1168,71,7,1236,1,5,0,4,101,Affoltern,1,ZH,Zürich
1880,12,Rifferswil,537,522,15,259,278,161,330,46,503,34,0,533,0,1,3,0,101,Affoltern,1,ZH,Zürich
1880,13,Stallikon,723,717,6,367,356,245,416,62,693,30,0,721,0,2,0,0,101,Affoltern,1,ZH,Zürich
1880,14,Wettswil,353,350,3,164,189,135,195,23,340,13,0,351,1,0,0,1,101,Affoltern,1,ZH,Zürich
1880,21,Adlikon,505,493,12,262,243,170,285,50,501,4,0,505,0,0,0,0,102,Andelfingen,1,ZH,Zürich
1880,22,Benken (ZH),575,566,9,290,285,190,325,60,551,5,19,575,0,0,0,0,102,Andelfingen,1,ZH,Zürich
1880,23,Berg am Irchel,545,539,6,266,279,169,310,66,539,5,1,545,0,0,0,0,102,Andelfingen,1,ZH,Zürich
1880,24,Buch am Irchel,518,515,3,269,249,141,322,55,516,2,0,518,0,0,0,0,102,Andelfingen,1,ZH,Zürich
1880,25,Dachsen,593,561,32,283,310,211,331,51,552,41,0,591,2,0,0,0,102,Andelfingen,1,ZH,Zürich
1880,26,Dorf,358,347,11,176,182,118,202,38,356,2,0,358,0,0,0,0,102,Andelfingen,1,ZH,Zürich
1880,27,Feuerthalen,1156,884,272,540,616,377,698,81,937,209,10,1139,8,3,0,6,102,Andelfingen,1,ZH,Zürich
1880,28,Flaach,996,988,8,492,504,309,561,126,973,17,6,996,0,0,0,0,102,Andelfingen,1,ZH,Zürich
1880,29,Flurlingen,630,570,60,294,336,222,364,44,571,59,0,629,1,0,0,0,102,Andelfingen,1,ZH,Zürich
1880,30,Grossandelfingen,908,842,66,446,462,253,562,93,841,35,32,903,0,5,0,0,102,Andelfingen,1,ZH,Zürich
1880,31,Henggart,282,279,3,138,144,92,170,20,278,4,0,282,0,0,0,0,102,Andelfingen,1,ZH,Zürich
1880,32,Humlikon,319,315,4,163,156,118,167,34,315,4,0,318,1,0,0,0,102,Andelfingen,1,ZH,Zürich
1880,33,Kleinandelfingen,1135,1092,43,571,564,371,631,133,1104,31,0,1129,0,6,0,0,102,Andelfingen,1,ZH,Zürich
1880,34,Laufen-Uhwiesen,812,778,34,407,405,289,461,62,736,41,35,811,1,0,0,0,102,Andelfingen,1,ZH,Zürich
1880,35,Marthalen,1340,1303,37,672,668,467,710,163,1280,52,8,1339,1,0,0,0,102,Andelfingen,1,ZH,Zürich
1880,36,Oberstammheim,942,923,19,446,496,299,544,99,925,17,0,941,0,0,0,1,102,Andelfingen,1,ZH,Zürich
1880,37,Ossingen,956,933,23,498,458,261,579,116,936,12,8,956,0,0,0,0,102,Andelfingen,1,ZH,Zürich
1880,38,Rheinau,1280,1231,49,618,662,221,885,174,696,584,0,1277,2,0,1,0,102,Andelfingen,1,ZH,Zürich
1880,39,Thalheim an der Thur,519,510,9,270,249,204,255,60,515,4,0,518,1,0,0,0,102,Andelfingen,1,ZH,Zürich
1880,40,Trüllikon,1044,1031,13,526,518,353,561,130,1036,8,0,1044,0,0,0,0,102,Andelfingen,1,ZH,Zürich
1880,41,Truttikon,396,390,6,191,205,127,240,29,394,2,0,396,0,0,0,0,102,Andelfingen,1,ZH,Zürich
1880,42,Unterstammheim,733,722,11,353,380,238,425,70,722,11,0,733,0,0,0,0,102,Andelfingen,1,ZH,Zürich
1880,43,Volken,272,267,5,146,126,84,149,39,261,4,7,272,0,0,0,0,102,Andelfingen,1,ZH,Zürich
1880,44,Waltalingen,661,661,0,334,327,231,352,78,655,4,2,659,2,0,0,0,102,Andelfingen,1,ZH,Zürich
1880,51,Bachenbülach,626,620,6,308,318,232,334,60,620,6,0,623,3,0,0,0,103,Bülach,1,ZH,Zürich
1880,52,Bassersdorf,932,901,31,421,511,288,561,83,921,9,2,927,5,0,0,0,103,Bülach,1,ZH,Zürich
1880,53,Bülach,1876,1767,109,927,949,569,1125,182,1731,111,34,1866,9,1,0,0,103,Bülach,1,ZH,Zürich
1880,54,Dietlikon,386,383,3,185,201,120,228,38,377,9,0,386,0,0,0,0,103,Bülach,1,ZH,Zürich
1880,55,Eglisau,1489,1444,45,741,748,478,843,168,1384,53,52,1481,3,2,0,3,103,Bülach,1,ZH,Zürich
1880,56,Unterembrach,1511,1477,34,700,811,523,867,121,1449,44,18,1510,1,0,0,0,103,Bülach,1,ZH,Zürich
1880,57,Freienstein,1229,1168,61,618,611,383,745,101,1193,36,0,1227,1,1,0,0,103,Bülach,1,ZH,Zürich
1880,58,Glattfelden,1751,1686,65,853,898,625,1003,123,1666,68,17,1744,2,5,0,0,103,Bülach,1,ZH,Zürich
1880,59,Hochfelden,578,550,28,303,275,182,341,55,545,14,19,577,0,1,0,0,103,Bülach,1,ZH,Zürich
1880,60,Höri,483,459,24,236,247,167,261,55,471,5,7,483,0,0,0,0,103,Bülach,1,ZH,Zürich
1880,61,Hüntwangen,640,633,7,302,338,226,340,74,630,10,0,640,0,0,0,0,103,Bülach,1,ZH,Zürich
1880,62,Kloten,1373,1326,47,681,692,420,809,144,1312,35,26,1367,1,1,1,3,103,Bülach,1,ZH,Zürich
1880,63,Lufingen,336,334,2,171,165,108,199,29,333,3,0,336,0,0,0,0,103,Bülach,1,ZH,Zürich
1880,64,Nürensdorf,1053,1010,43,524,529,398,580,75,1027,26,0,1051,0,2,0,0,103,Bülach,1,ZH,Zürich
1880,65,Oberembrach,656,649,7,328,328,201,393,62,654,2,0,656,0,0,0,0,103,Bülach,1,ZH,Zürich
1880,66,Opfikon,591,565,26,298,293,205,321,65,558,22,11,589,1,0,0,1,103,Bülach,1,ZH,Zürich
1880,67,Rafz,1569,1543,26,778,791,586,814,169,1551,18,0,1569,0,0,0,0,103,Bülach,1,ZH,Zürich
1880,68,Rorbas,1392,1334,58,682,710,451,847,94,1344,46,2,1387,0,5,0,0,103,Bülach,1,ZH,Zürich
1880,69,Wallisellen,739,715,24,346,393,233,443,63,690,34,15,739,0,0,0,0,103,Bülach,1,ZH,Zürich
1880,70,Wasterkingen,445,444,1,221,224,150,244,51,445,0,0,445,0,0,0,0,103,Bülach,1,ZH,Zürich
1880,71,Wil (ZH),823,816,7,409,414,261,466,96,808,9,6,823,0,0,0,0,103,Bülach,1,ZH,Zürich
1880,72,Winkel,704,704,0,344,360,237,404,63,687,0,17,704,0,0,0,0,103,Bülach,1,ZH,Zürich
1880,110117,Rieden (ZH),336,327,9,154,182,109,202,25,331,5,0,335,0,1,0,0,103,Bülach,1,ZH,Zürich
1880,81,Bachs,585,577,8,302,283,196,325,64,565,20,0,585,0,0,0,0,104,Dielsdorf,1,ZH,Zürich
1880,82,Boppelsen,295,287,8,146,149,80,172,43,288,7,0,295,0,0,0,0,104,Dielsdorf,1,ZH,Zürich
1880,83,Buchs (ZH),600,593,7,296,304,222,322,56,590,10,0,600,0,0,0,0,104,Dielsdorf,1,ZH,Zürich
1880,84,Dällikon,345,345,0,176,169,112,199,34,340,1,4,345,0,0,0,0,104,Dielsdorf,1,ZH,Zürich
1880,85,Dänikon,186,186,0,92,94,62,109,15,183,3,0,185,1,0,0,0,104,Dielsdorf,1,ZH,Zürich
1880,86,Dielsdorf,738,703,35,362,376,249,409,80,700,30,8,732,1,5,0,0,104,Dielsdorf,1,ZH,Zürich
1880,87,Hüttikon,134,132,2,67,67,40,76,18,126,8,0,134,0,0,0,0,104,Dielsdorf,1,ZH,Zürich
1880,88,Neerach,647,627,20,308,339,211,366,70,620,27,0,647,0,0,0,0,104,Dielsdorf,1,ZH,Zürich
1880,89,Niederglatt,569,553,16,286,283,210,296,63,561,8,0,565,0,4,0,0,104,Dielsdorf,1,ZH,Zürich
1880,90,Niederhasli,929,914,15,468,461,323,499,107,920,8,1,927,2,0,0,0,104,Dielsdorf,1,ZH,Zürich
1880,91,Niederweningen,641,633,8,339,302,197,372,72,598,43,0,640,1,0,0,0,104,Dielsdorf,1,ZH,Zürich
1880,92,Oberglatt,707,704,3,342,365,230,396,81,691,4,12,707,0,0,0,0,104,Dielsdorf,1,ZH,Zürich
1880,93,Oberweningen,336,331,5,157,179,110,192,34,323,11,2,336,0,0,0,0,104,Dielsdorf,1,ZH,Zürich
1880,94,Otelfingen,528,524,4,286,242,157,307,64,493,35,0,526,1,1,0,0,104,Dielsdorf,1,ZH,Zürich
1880,95,Regensberg,301,265,36,135,166,94,176,31,271,30,0,294,0,7,0,0,104,Dielsdorf,1,ZH,Zürich
1880,96,Regensdorf,1028,1012,16,523,505,315,594,119,999,28,1,1020,8,0,0,0,104,Dielsdorf,1,ZH,Zürich
1880,97,Rümlang,821,800,21,412,409,249,501,71,790,21,10,818,0,1,0,2,104,Dielsdorf,1,ZH,Zürich
1880,98,Schleinikon,441,440,1,231,210,154,243,44,437,4,0,441,0,0,0,0,104,Dielsdorf,1,ZH,Zürich
1880,99,Schöfflisdorf,365,361,4,182,183,112,198,55,356,9,0,365,0,0,0,0,104,Dielsdorf,1,ZH,Zürich
1880,100,Stadel,609,607,2,309,300,178,362,69,602,7,0,608,0,1,0,0,104,Dielsdorf,1,ZH,Zürich
1880,101,Steinmaur,855,810,45,462,393,304,467,84,813,42,0,838,3,14,0,0,104,Dielsdorf,1,ZH,Zürich
1880,102,Weiach,740,731,9,370,370,273,409,58,725,15,0,740,0,0,0,0,104,Dielsdorf,1,ZH,Zürich
1880,110118,Raat-Schüpfheim,312,302,10,164,148,116,167,29,295,17,0,312,0,0,0,0,104,Dielsdorf,1,ZH,Zürich
1880,110119,Windlach,360,355,5,183,177,123,208,29,355,5,0,356,0,4,0,0,104,Dielsdorf,1,ZH,Zürich
1880,111,Bäretswil,3033,2971,62,1450,1583,861,1888,284,2955,68,10,3028,0,2,2,1,105,Hinwil,1,ZH,Zürich
1880,112,Bubikon,1533,1505,28,732,801,492,897,144,1398,91,44,1531,2,0,0,0,105,Hinwil,1,ZH,Zürich
1880,113,Dürnten,2236,2156,80,1081,1155,694,1376,166,1915,317,4,2228,3,3,1,1,105,Hinwil,1,ZH,Zürich
1880,114,Fischenthal,2323,2279,44,1170,1153,722,1371,230,2202,114,7,2310,0,13,0,0,105,Hinwil,1,ZH,Zürich
1880,115,Gossau (ZH),2791,2754,37,1327,1464,784,1712,295,2713,66,12,2790,0,1,0,0,105,Hinwil,1,ZH,Zürich
1880,116,Grüningen,1376,1355,21,635,741,350,846,180,1279,56,41,1376,0,0,0,0,105,Hinwil,1,ZH,Zürich
1880,117,Hinwil,2771,2713,58,1314,1457,820,1662,289,2597,97,77,2765,1,3,2,0,105,Hinwil,1,ZH,Zürich
1880,118,Rüti (ZH),2617,2460,157,1251,1366,765,1661,191,2244,354,19,2587,13,7,9,1,105,Hinwil,1,ZH,Zürich
1880,119,Seegräben,777,747,30,389,388,227,506,44,706,71,0,773,1,3,0,0,105,Hinwil,1,ZH,Zürich
1880,120,Wald (ZH),6048,5825,223,2859,3189,1782,3792,474,5325,698,25,6006,18,23,1,0,105,Hinwil,1,ZH,Zürich
1880,121,Wetzikon (ZH),4841,4597,244,2201,2640,1319,3125,397,4494,337,10,4813,8,15,2,3,105,Hinwil,1,ZH,Zürich
1880,131,Adliswil,2179,2039,140,951,1228,625,1426,128,1980,153,46,2171,0,7,0,1,106,Horgen,1,ZH,Zürich
1880,132,Hirzel,1245,1217,28,640,605,379,758,108,1105,111,29,1243,0,1,0,1,106,Horgen,1,ZH,Zürich
1880,133,Horgen,5268,4934,334,2480,2788,1540,3304,424,4702,441,125,5244,10,9,0,5,106,Horgen,1,ZH,Zürich
1880,134,Hütten,619,611,8,316,303,193,351,75,570,49,0,614,0,5,0,0,106,Horgen,1,ZH,Zürich
1880,135,Kilchberg (ZH),1211,1115,96,568,643,333,771,107,1080,113,18,1203,5,0,0,3,106,Horgen,1,ZH,Zürich
1880,136,Langnau am Albis,1432,1325,107,697,735,434,884,114,1234,197,1,1419,1,12,0,0,106,Horgen,1,ZH,Zürich
1880,137,Oberrieden,1077,1031,46,513,564,332,659,86,992,68,17,1073,0,3,1,0,106,Horgen,1,ZH,Zürich
1880,138,Richterswil,3826,3597,229,1746,2080,1149,2363,314,3366,452,8,3805,6,9,1,5,106,Horgen,1,ZH,Zürich
1880,139,Rüschlikon,990,961,29,444,546,263,630,97,947,42,1,987,3,0,0,0,106,Horgen,1,ZH,Zürich
1880,140,Schönenberg (ZH),1276,1262,14,644,632,422,740,114,1178,91,7,1274,0,2,0,0,106,Horgen,1,ZH,Zürich
1880,141,Thalwil,3311,2941,370,1565,1746,976,2079,256,2892,354,65,3227,45,36,3,0,106,Horgen,1,ZH,Zürich
1880,142,Wädenswil,6206,5688,518,2940,3266,1831,3877,498,5729,422,55,6149,21,26,4,6,106,Horgen,1,ZH,Zürich
1880,151,Erlenbach (ZH),1036,996,40,482,554,240,673,123,976,50,10,1025,8,3,0,0,107,Meilen,1,ZH,Zürich
1880,152,Herrliberg,1055,1033,22,507,548,292,640,123,1001,44,10,1052,1,2,0,0,107,Meilen,1,ZH,Zürich
1880,153,Hombrechtikon,2513,2458,55,1174,1339,708,1531,274,2367,129,17,2507,4,2,0,0,107,Meilen,1,ZH,Zürich
1880,154,Küsnacht (ZH),2750,2626,124,1412,1338,720,1781,249,2599,118,33,2733,4,12,0,1,107,Meilen,1,ZH,Zürich
1880,155,Männedorf,2591,2373,218,1181,1410,684,1625,282,2424,160,7,2545,17,7,3,19,107,Meilen,1,ZH,Zürich
1880,156,Meilen,2962,2879,83,1439,1523,826,1863,273,2760,131,71,2949,6,5,2,0,107,Meilen,1,ZH,Zürich
1880,157,Oetwil am See,1066,1041,25,510,556,287,662,117,1051,9,6,1064,0,2,0,0,107,Meilen,1,ZH,Zürich
1880,158,Stäfa,3874,3702,172,1765,2109,948,2526,400,3669,191,14,3837,10,15,0,12,107,Meilen,1,ZH,Zürich
1880,159,Uetikon,1264,1229,35,628,636,388,774,102,1179,83,2,1257,2,4,1,0,107,Meilen,1,ZH,Zürich
1880,160,Zumikon,672,667,5,309,363,190,405,77,668,4,0,672,0,0,0,0,107,Meilen,1,ZH,Zürich
1880,171,Bauma,2837,2734,103,1338,1499,735,1812,290,2728,106,3,2798,5,31,1,2,108,Pfäffikon,1,ZH,Zürich
1880,172,Fehraltorf,1051,1018,33,521,530,315,611,125,1027,24,0,1039,8,2,1,1,108,Pfäffikon,1,ZH,Zürich
1880,173,Hittnau,1598,1574,24,731,867,426,958,214,1564,16,18,1595,2,1,0,0,108,Pfäffikon,1,ZH,Zürich
1880,174,Illnau,2792,2695,97,1387,1405,850,1713,229,2694,95,3,2776,1,15,0,0,108,Pfäffikon,1,ZH,Zürich
1880,175,Kyburg,386,363,23,187,199,138,217,31,372,14,0,385,0,1,0,0,108,Pfäffikon,1,ZH,Zürich
1880,176,Lindau,1144,1107,37,537,607,388,675,81,1107,36,1,1137,0,3,0,4,108,Pfäffikon,1,ZH,Zürich
1880,177,Pfäffikon,2888,2793,95,1332,1556,813,1817,258,2800,70,18,2875,3,7,3,0,108,Pfäffikon,1,ZH,Zürich
1880,178,Russikon,1370,1354,16,638,732,370,866,134,1347,15,8,1369,0,1,0,0,108,Pfäffikon,1,ZH,Zürich
1880,179,Sternenberg,889,883,6,444,445,264,546,79,881,8,0,886,0,3,0,0,108,Pfäffikon,1,ZH,Zürich
1880,180,Weisslingen,1221,1201,20,596,625,334,756,131,1205,16,0,1220,0,1,0,0,108,Pfäffikon,1,ZH,Zürich
